,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0191300,1893,1383,2214,1976
Os01g0191400,1,2,6,2
Os01g0191500,15430,11967,16143,13970
Os01g0191700,5509,5274,6811,8377
Os01g0191800,1406,621,1687,391
Os01g0191900,785,589,985,1061
Os01g0192000,725,1844,1563,3571
Os01g0192101,0,0,0,0
Os01g0192300,2729,6762,4127,14003
Os01g0192500,31,63,58,112
Os01g0192401,0,0,0,0
Os01g0192550,112,73,104,95
Os01g0192600,67,26,83,37
Os01g0192700,0,1,0,0
Os01g0192900,121,432,109,260
Os01g0193250,0,0,0,1
Os01g0193400,20,32,30,48
Os01g0193500,0,0,0,0
Os01g0193600,361,128,259,166
Os01g0193700,1,0,0,0
Os01g0193900,2009,1808,2158,2471
Os01g0194000,2155,1377,3203,1914
Os01g0194200,891,440,1105,604
Os01g0194300,3248,2887,4836,5474
Os01g0194600,363,317,653,603
Os01g0195000,1698,1752,1812,2921
Os01g0195066,17,7,5,10
Os01g0195100,2,5,0,10
Os01g0195200,4445,2536,4807,2915
Os01g0195300,42,52,128,86
Os01g0195400,2306,712,3433,1156
Os01g0195500,4162,3898,5209,5235
Os01g0195700,0,0,0,2
Os01g0195801,0,0,4,3
Os01g0196133,0,0,2,0
