"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0532100",681.068462944049,0.939593617038921,0.223157544158085,4.21044970979477,2.54862854098189e-05,0.000236039765359315
"Os04g0532400",820.541314002237,-0.843820994985666,0.247578596475008,-3.40829541406195,0.000653700831968778,0.00398713999034826
"Os04g0533500",2718.39571785545,-1.42494834116663,0.200887583079739,-7.09326240736853,1.30986747016027e-12,5.07051596057695e-11
"Os04g0533900",462.702129196993,0.737910888587541,0.247735505470284,2.97862386413583,0.00289545974033583,0.0140079206057544
"Os04g0534100",1029.79747637177,1.11690454933301,0.196879150141806,5.6730463765642,1.40280232960771e-08,2.71710298939971e-07
"Os04g0534400",2179.4141120942,-0.598072303760414,0.18217331557922,-3.28298522678168,0.00102714048294916,0.00587094421133578
"Os04g0534600",1171.35473546893,-1.1519188691476,0.296648320996105,-3.88311272175623,0.000103127729992059,0.000802839308681987
"Os04g0536300",304.134610783436,-0.976598935206781,0.300976191264809,-3.24477139239075,0.00117544948470703,0.00658754841303501
"Os04g0536500",137.22654503817,-1.05831303584548,0.382195321855344,-2.76903712663977,0.00562222281886169,0.0242248058544597
"Os04g0537800",715.270475020431,0.761655722955701,0.30347937884026,2.50974456935543,0.0120818519662159,0.0453748967966292
"Os04g0538100",2170.35481973914,-1.53464391330333,0.184261609956961,-8.32861448275521,8.17939500536163e-17,5.77967303156638e-15
"Os04g0538166",1866.55172844661,-1.36559343368172,0.209219918344384,-6.52707182226262,6.70678918651926e-11,2.02645180058744e-09
"Os04g0539000",3234.23899065722,-1.46125686251751,0.206137168001126,-7.0887597646123,1.3531919048135e-12,5.22308609502436e-11
"Os04g0540600",113.863434694528,-1.30623541097946,0.389486014041018,-3.35374150518765,0.000797268055200604,0.00473222883431292
"Os04g0541700",3955.4846312177,3.97947775774502,0.377569299174335,10.5397281146727,5.66624724951665e-26,9.57882683763226e-24
"Os04g0542800",2606.5294197274,-0.515088780977117,0.183764728881365,-2.80297957128458,0.00506328764171643,0.0221705594934829
"Os04g0543500",2762.87805040186,1.12797418431116,0.210844295521025,5.34979702212848,8.80529342719213e-08,1.45089073066195e-06
"Os04g0543600",47.6622781363664,1.80443301196282,0.568197221995194,3.17571600513401,0.00149467198377244,0.00807352979424546
"Os04g0543900",10039.9371677267,0.653979493739131,0.181378949914409,3.60559752963472,0.000311435496235683,0.00211074400011547
"Os04g0544400",5277.26942654258,-1.18527236755321,0.196913906829746,-6.01924153878075,1.75236218819739e-09,4.01764755766114e-08
"Os04g0545250",186.457224347205,-1.49578044204917,0.312779317009545,-4.78222299463465,1.73367200247349e-06,2.12902892809503e-05
"Os04g0545600",818.343777296834,-1.45355957625184,0.238605802282483,-6.09188696313005,1.11587468954468e-09,2.66149199655291e-08
"Os04g0550700",2636.82496726485,0.701804626641125,0.188547949613263,3.72215464597001,0.000197529976845053,0.00142287639739249
"Os04g0551700",1873.40116950257,-0.947634944440645,0.214506623866772,-4.41774210678553,9.97373232891934e-06,0.000103095352362785
"Os04g0553300",385.277991463009,-0.85976771669159,0.29076138071036,-2.95695293023815,0.00310695543141333,0.0148281978208315
"Os04g0553500",1661.62040396017,-1.57279958669084,0.262307449352831,-5.9960157081748,2.02217469218969e-09,4.56184848212725e-08
"Os04g0553650",338.006126835669,-1.47767118046483,0.335602162226337,-4.40304427916128,1.06742369244094e-05,0.000109741673691676
"Os04g0554600",234.12280155617,-1.15354063957351,0.414052147057499,-2.78597912792205,0.0053366307812459,0.0232114326928966
"Os04g0554800",1045.89604688993,-2.6345573901828,0.304497307413083,-8.65215332301359,5.05366861105704e-18,4.10284159882473e-16
